Extension ID,Loan Number,Extension Number,Date Extension Requested,Extension (Days),Extension Cost (%),Extension Cost ($),Extension Requestor,Approved By (ID),Extension Reason,Expiration Before Extension,Expiration After Extension,Total Extension Days,Total Extension Cost ($),Extension Count,Extension Bucket
91018,70002506,3,2023-05-10,15,0.0025,497.75,Broker,138,Appraisal Delay,2023-05-11,2023-05-26,40,1493.26,4,3+ Extensions
91019,70002506,4,2023-05-22,15,0.0025,497.75,Loan Officer,138,Rate Shopping,2023-05-26,2023-06-10,40,1493.26,4,3+ Extensions
91020,70002507,1,2023-05-17,5,0.00125,632.19,Loan Officer,129,Rate Shopping,2023-05-18,2023-05-23,5,632.19,1,1–2 Extensions
91021,70002510,1,2023-03-03,5,0.00125,980.76,Broker,130,Appraisal Delay,2023-03-08,2023-03-13,5,980.76,1,1–2 Extensions
91022,70002515,1,2023-02-27,15,0.0025,1026.92,Loan Officer,139,Appraisal Delay,2023-03-01,2023-03-16,35,2567.3,3,3+ Extensions
91023,70002515,2,2023-03-11,5,0.00125,513.46,Processor,133,Borrower Delay,2023-03-16,2023-03-21,35,2567.3,3,3+ Extensions
91024,70002515,3,2023-03-17,15,0.0025,1026.92,Loan Officer,129,Borrower Delay,2023-03-21,2023-04-05,35,2567.3,3,3+ Extensions
91025,70002523,1,2023-02-26,5,0.00125,391.07,Broker,132,Borrower Delay,2023-02-28,2023-03-05,5,391.07,1,1–2 Extensions
91026,70002524,1,2023-04-15,15,0.0025,712.72,Loan Officer,132,Rate Shopping,2023-04-16,2023-05-01,15,712.72,1,1–2 Extensions
91027,70002533,1,2023-03-29,5,0.00125,495.99,Processor,129,Appraisal Delay,2023-04-02,2023-04-07,5,495.99,1,1–2 Extensions
91028,70002538,1,2023-05-06,15,0.0025,1274.89,Broker,138,Underwriting Conditions,2023-05-11,2023-05-26,15,1274.89,1,1–2 Extensions
91029,70002543,1,2023-05-08,15,0.0025,1271.86,Loan Officer,132,Title Issues,2023-05-12,2023-05-27,35,3179.6499999999996,3,3+ Extensions
91030,70002543,2,2023-05-23,5,0.00125,635.93,Loan Officer,137,Title Issues,2023-05-27,2023-06-01,35,3179.6499999999996,3,3+ Extensions
91031,70002543,3,2023-05-31,15,0.0025,1271.86,Processor,135,Underwriting Conditions,2023-06-01,2023-06-16,35,3179.6499999999996,3,3+ Extensions
91032,70002554,1,2023-03-12,15,0.0025,2136.21,Broker,128,Underwriting Conditions,2023-03-17,2023-04-01,20,3204.3199999999997,2,1–2 Extensions
91033,70002554,2,2023-03-29,5,0.00125,1068.11,Broker,137,Title Issues,2023-04-01,2023-04-06,20,3204.3199999999997,2,1–2 Extensions
91034,70002559,1,2023-02-10,15,0.0025,785.11,Loan Officer,130,Borrower Delay,2023-02-11,2023-02-26,15,785.11,1,1–2 Extensions
91035,70002563,1,2023-04-14,5,0.00125,1163.93,Processor,130,Underwriting Conditions,2023-04-15,2023-04-20,5,1163.93,1,1–2 Extensions
91036,70002571,1,2023-02-05,15,0.0025,1164.67,Loan Officer,138,Title Issues,2023-02-06,2023-02-21,15,1164.67,1,1–2 Extensions
91037,70002574,1,2023-03-22,5,0.00125,496.4,Loan Officer,125,Rate Shopping,2023-03-27,2023-04-01,5,496.4,1,1–2 Extensions
91038,70002576,1,2023-03-29,5,0.00125,424.55,Loan Officer,127,Borrower Delay,2023-04-01,2023-04-06,5,424.55,1,1–2 Extensions
91039,70002579,1,2023-03-30,15,0.0025,2052.63,Loan Officer,135,Title Issues,2023-04-02,2023-04-17,15,2052.63,1,1–2 Extensions
91040,70002580,1,2023-01-29,5,0.00125,407.64,Broker,134,Title Issues,2023-02-01,2023-02-06,10,815.28,2,1–2 Extensions
91041,70002580,2,2023-02-01,5,0.00125,407.64,Processor,128,Title Issues,2023-02-06,2023-02-11,10,815.28,2,1–2 Extensions
91042,70002582,1,2023-02-17,5,0.00125,483.09,Processor,132,Underwriting Conditions,2023-02-20,2023-02-25,5,483.09,1,1–2 Extensions
91043,70002585,1,2023-03-26,15,0.0025,726.1,Processor,138,Underwriting Conditions,2023-03-30,2023-04-14,15,726.1,1,1–2 Extensions
91044,70002595,1,2023-02-02,15,0.0025,1093.52,Broker,130,Underwriting Conditions,2023-02-07,2023-02-22,15,1093.52,1,1–2 Extensions
91045,70002596,1,2023-03-23,5,0.00125,616.52,Broker,131,Borrower Delay,2023-03-28,2023-04-02,5,616.52,1,1–2 Extensions
91046,70002598,1,2023-03-31,5,0.00125,544.64,Processor,126,Borrower Delay,2023-04-01,2023-04-06,5,544.64,1,1–2 Extensions
91047,70002601,1,2023-03-14,15,0.0025,499.31,Loan Officer,128,Rate Shopping,2023-03-16,2023-03-31,15,499.31,1,1–2 Extensions
91048,70002606,1,2023-03-15,5,0.00125,652.71,Broker,130,Rate Shopping,2023-03-18,2023-03-23,40,3916.26,4,3+ Extensions
91049,70002606,2,2023-03-18,5,0.00125,652.71,Processor,138,Borrower Delay,2023-03-23,2023-03-28,40,3916.26,4,3+ Extensions
91050,70002606,3,2023-03-26,15,0.0025,1305.42,Processor,139,Title Issues,2023-03-28,2023-04-12,40,3916.26,4,3+ Extensions
91051,70002606,4,2023-04-11,15,0.0025,1305.42,Loan Officer,135,Rate Shopping,2023-04-12,2023-04-27,40,3916.26,4,3+ Extensions
91052,70002608,1,2023-03-04,15,0.0025,795.21,Processor,128,Rate Shopping,2023-03-09,2023-03-24,15,795.21,1,1–2 Extensions
91053,70002611,1,2023-02-12,15,0.0025,1755.92,Loan Officer,136,Underwriting Conditions,2023-02-15,2023-03-02,30,3511.84,2,1–2 Extensions
91054,70002611,2,2023-02-26,15,0.0025,1755.92,Loan Officer,133,Rate Shopping,2023-03-02,2023-03-17,30,3511.84,2,1–2 Extensions
91055,70002612,1,2023-04-08,15,0.0025,1191.59,Loan Officer,125,Title Issues,2023-04-10,2023-04-25,15,1191.59,1,1–2 Extensions
91056,70002615,1,2023-03-11,5,0.00125,393.38,Broker,128,Underwriting Conditions,2023-03-12,2023-03-17,5,393.38,1,1–2 Extensions
91057,70002616,1,2023-05-06,15,0.0025,1225.4,Processor,137,Rate Shopping,2023-05-07,2023-05-22,20,1838.1000000000001,2,1–2 Extensions
91058,70002616,2,2023-05-19,5,0.00125,612.7,Loan Officer,139,Appraisal Delay,2023-05-22,2023-05-27,20,1838.1000000000001,2,1–2 Extensions
91059,70002620,1,2023-03-20,5,0.00125,509.18,Broker,138,Underwriting Conditions,2023-03-22,2023-03-27,5,509.18,1,1–2 Extensions
91060,70002624,1,2023-03-20,5,0.00125,1009.7,Loan Officer,129,Underwriting Conditions,2023-03-24,2023-03-29,5,1009.7,1,1–2 Extensions
91061,70002633,1,2023-03-02,5,0.00125,704.49,Broker,127,Borrower Delay,2023-03-05,2023-03-10,40,4226.96,4,3+ Extensions
91062,70002633,2,2023-03-05,5,0.00125,704.49,Processor,136,Title Issues,2023-03-10,2023-03-15,40,4226.96,4,3+ Extensions
91063,70002633,3,2023-03-10,15,0.0025,1408.99,Loan Officer,134,Underwriting Conditions,2023-03-15,2023-03-30,40,4226.96,4,3+ Extensions
91064,70002633,4,2023-03-28,15,0.0025,1408.99,Broker,135,Rate Shopping,2023-03-30,2023-04-14,40,4226.96,4,3+ Extensions
91065,70002635,1,2023-03-02,15,0.0025,533.11,Broker,125,Appraisal Delay,2023-03-04,2023-03-19,15,533.11,1,1–2 Extensions
91066,70002636,1,2023-05-24,5,0.00125,427.45,Processor,134,Underwriting Conditions,2023-05-26,2023-05-31,5,427.45,1,1–2 Extensions
91067,70002637,1,2023-03-11,5,0.00125,686.84,Loan Officer,130,Appraisal Delay,2023-03-16,2023-03-21,5,686.84,1,1–2 Extensions
91068,70002639,1,2023-03-31,15,0.0025,2417.32,Loan Officer,131,Title Issues,2023-04-02,2023-04-17,20,3625.9800000000005,2,1–2 Extensions
91069,70002639,2,2023-04-12,5,0.00125,1208.66,Loan Officer,127,Borrower Delay,2023-04-17,2023-04-22,20,3625.9800000000005,2,1–2 Extensions
91070,70002650,1,2023-05-12,15,0.0025,1038.67,Processor,135,Rate Shopping,2023-05-16,2023-05-31,15,1038.67,1,1–2 Extensions
91071,70002652,1,2023-05-05,15,0.0025,1020.26,Broker,138,Title Issues,2023-05-10,2023-05-25,15,1020.26,1,1–2 Extensions
91072,70002653,1,2023-03-25,5,0.00125,577.24,Processor,133,Appraisal Delay,2023-03-26,2023-03-31,35,2886.2,3,3+ Extensions
91073,70002653,2,2023-03-30,15,0.0025,1154.48,Loan Officer,132,Title Issues,2023-03-31,2023-04-15,35,2886.2,3,3+ Extensions
91074,70002653,3,2023-04-13,15,0.0025,1154.48,Broker,129,Underwriting Conditions,2023-04-15,2023-04-30,35,2886.2,3,3+ Extensions
91075,70002655,1,2023-02-07,15,0.0025,608.41,Broker,137,Rate Shopping,2023-02-10,2023-02-25,20,912.6199999999999,2,1–2 Extensions
91076,70002655,2,2023-02-22,5,0.00125,304.21,Broker,130,Appraisal Delay,2023-02-25,2023-03-02,20,912.6199999999999,2,1–2 Extensions
91077,70002657,1,2023-02-27,5,0.00125,909.24,Loan Officer,130,Rate Shopping,2023-03-01,2023-03-06,20,2727.71,2,1–2 Extensions
91078,70002657,2,2023-03-02,15,0.0025,1818.47,Processor,134,Title Issues,2023-03-06,2023-03-21,20,2727.71,2,1–2 Extensions
91079,70002658,1,2023-02-25,15,0.0025,561.6,Broker,136,Appraisal Delay,2023-02-28,2023-03-15,15,561.6,1,1–2 Extensions
91080,70002665,1,2023-05-21,15,0.0025,626.15,Processor,136,Underwriting Conditions,2023-05-25,2023-06-09,15,626.15,1,1–2 Extensions
91081,70002666,1,2023-03-20,15,0.0025,1249.91,Processor,133,Title Issues,2023-03-22,2023-04-06,15,1249.91,1,1–2 Extensions
91082,70002668,1,2023-04-13,15,0.0025,622.06,Processor,134,Title Issues,2023-04-14,2023-04-29,35,1555.1499999999999,3,3+ Extensions
91083,70002668,2,2023-04-27,5,0.00125,311.03,Loan Officer,127,Title Issues,2023-04-29,2023-05-04,35,1555.1499999999999,3,3+ Extensions
91084,70002668,3,2023-05-03,15,0.0025,622.06,Loan Officer,134,Rate Shopping,2023-05-04,2023-05-19,35,1555.1499999999999,3,3+ Extensions
91085,70002669,1,2023-04-06,15,0.0025,1395.74,Loan Officer,127,Rate Shopping,2023-04-09,2023-04-24,15,1395.74,1,1–2 Extensions
91086,70002671,1,2023-05-07,15,0.0025,636.75,Processor,133,Borrower Delay,2023-05-11,2023-05-26,15,636.75,1,1–2 Extensions
91087,70002673,1,2023-02-06,15,0.0025,622.29,Broker,135,Appraisal Delay,2023-02-07,2023-02-22,20,933.43,2,1–2 Extensions
91088,70002673,2,2023-02-19,5,0.00125,311.14,Processor,137,Title Issues,2023-02-22,2023-02-27,20,933.43,2,1–2 Extensions
91089,70002677,1,2023-02-01,15,0.0025,1904.88,Processor,128,Appraisal Delay,2023-02-03,2023-02-18,15,1904.88,1,1–2 Extensions
91090,70002679,1,2023-02-26,15,0.0025,1430.2,Broker,135,Rate Shopping,2023-03-03,2023-03-18,15,1430.2,1,1–2 Extensions
91091,70002680,1,2023-04-23,15,0.0025,1420.91,Loan Officer,135,Underwriting Conditions,2023-04-26,2023-05-11,15,1420.91,1,1–2 Extensions
91092,70002686,1,2023-04-11,5,0.00125,471.59,Broker,127,Underwriting Conditions,2023-04-16,2023-04-21,10,943.18,2,1–2 Extensions
91093,70002686,2,2023-04-17,5,0.00125,471.59,Processor,136,Appraisal Delay,2023-04-21,2023-04-26,10,943.18,2,1–2 Extensions
91094,70002688,1,2023-03-24,5,0.00125,499.79,Loan Officer,136,Rate Shopping,2023-03-29,2023-04-03,10,999.58,2,1–2 Extensions
91095,70002688,2,2023-04-01,5,0.00125,499.79,Processor,126,Appraisal Delay,2023-04-03,2023-04-08,10,999.58,2,1–2 Extensions
91096,70002690,1,2023-02-09,15,0.0025,968.34,Broker,129,Title Issues,2023-02-13,2023-02-28,15,968.34,1,1–2 Extensions
91097,70002692,1,2023-02-17,15,0.0025,1824.24,Loan Officer,128,Appraisal Delay,2023-02-19,2023-03-06,15,1824.24,1,1–2 Extensions
91098,70002694,1,2023-04-14,15,0.0025,941.76,Broker,129,Borrower Delay,2023-04-19,2023-05-04,20,1412.6399999999999,2,1–2 Extensions
91099,70002694,2,2023-05-03,5,0.00125,470.88,Processor,130,Rate Shopping,2023-05-04,2023-05-09,20,1412.6399999999999,2,1–2 Extensions
91100,70002699,1,2023-02-07,15,0.0025,828.03,Loan Officer,135,Title Issues,2023-02-11,2023-02-26,30,1656.06,2,1–2 Extensions
91101,70002699,2,2023-02-23,15,0.0025,828.03,Broker,125,Underwriting Conditions,2023-02-26,2023-03-13,30,1656.06,2,1–2 Extensions
91102,70002701,1,2023-05-02,5,0.00125,260.78,Loan Officer,126,Underwriting Conditions,2023-05-03,2023-05-08,5,260.78,1,1–2 Extensions
91103,70002712,1,2023-04-08,5,0.00125,236.45,Processor,129,Appraisal Delay,2023-04-13,2023-04-18,5,236.45,1,1–2 Extensions
91104,70002717,1,2023-04-20,5,0.00125,336.54,Loan Officer,129,Borrower Delay,2023-04-24,2023-04-29,10,673.08,2,1–2 Extensions
91105,70002717,2,2023-04-26,5,0.00125,336.54,Processor,130,Borrower Delay,2023-04-29,2023-05-04,10,673.08,2,1–2 Extensions
91106,70002718,1,2023-05-09,5,0.00125,357.97,Broker,139,Rate Shopping,2023-05-11,2023-05-16,5,357.97,1,1–2 Extensions
91107,70002720,1,2023-03-12,15,0.0025,1359.02,Processor,135,Appraisal Delay,2023-03-16,2023-03-31,45,4077.06,3,3+ Extensions
91108,70002720,2,2023-03-30,15,0.0025,1359.02,Loan Officer,138,Borrower Delay,2023-03-31,2023-04-15,45,4077.06,3,3+ Extensions
91109,70002720,3,2023-04-14,15,0.0025,1359.02,Processor,126,Rate Shopping,2023-04-15,2023-04-30,45,4077.06,3,3+ Extensions
91110,70002730,1,2023-02-16,5,0.00125,705.32,Broker,130,Underwriting Conditions,2023-02-20,2023-02-25,5,705.32,1,1–2 Extensions
91111,70002736,1,2023-05-01,15,0.0025,826.12,Loan Officer,136,Underwriting Conditions,2023-05-02,2023-05-17,20,1239.18,2,1–2 Extensions
91112,70002736,2,2023-05-15,5,0.00125,413.06,Loan Officer,133,Appraisal Delay,2023-05-17,2023-05-22,20,1239.18,2,1–2 Extensions
91113,70002737,1,2023-03-11,15,0.0025,1540.64,Loan Officer,133,Appraisal Delay,2023-03-15,2023-03-30,15,1540.64,1,1–2 Extensions
91114,70002738,1,2023-03-10,5,0.00125,812.06,Broker,136,Rate Shopping,2023-03-15,2023-03-20,20,2436.18,2,1–2 Extensions
91115,70002738,2,2023-03-16,15,0.0025,1624.12,Processor,133,Appraisal Delay,2023-03-20,2023-04-04,20,2436.18,2,1–2 Extensions
91116,70002749,1,2023-03-16,5,0.00125,548.09,Processor,126,Title Issues,2023-03-18,2023-03-23,5,548.09,1,1–2 Extensions
91117,70002750,1,2023-04-10,5,0.00125,916.72,Processor,133,Borrower Delay,2023-04-15,2023-04-20,10,1833.44,2,1–2 Extensions
91118,70002750,2,2023-04-15,5,0.00125,916.72,Loan Officer,126,Underwriting Conditions,2023-04-20,2023-04-25,10,1833.44,2,1–2 Extensions
91119,70002758,1,2023-04-10,15,0.0025,700.82,Broker,138,Title Issues,2023-04-12,2023-04-27,30,1401.64,2,1–2 Extensions
91120,70002758,2,2023-04-23,15,0.0025,700.82,Processor,131,Borrower Delay,2023-04-27,2023-05-12,30,1401.64,2,1–2 Extensions
91121,70002773,1,2023-04-28,5,0.00125,437.21,Processor,136,Underwriting Conditions,2023-05-03,2023-05-08,10,874.42,2,1–2 Extensions
91122,70002773,2,2023-05-06,5,0.00125,437.21,Broker,138,Borrower Delay,2023-05-08,2023-05-13,10,874.42,2,1–2 Extensions
91123,70002775,1,2023-02-09,15,0.0025,1508.04,Broker,125,Rate Shopping,2023-02-13,2023-02-28,15,1508.04,1,1–2 Extensions
91124,70002778,1,2023-02-18,5,0.00125,439.66,Broker,135,Borrower Delay,2023-02-21,2023-02-26,40,2637.96,4,3+ Extensions
91125,70002778,2,2023-02-23,5,0.00125,439.66,Processor,134,Appraisal Delay,2023-02-26,2023-03-03,40,2637.96,4,3+ Extensions
91126,70002778,3,2023-02-26,15,0.0025,879.32,Processor,126,Borrower Delay,2023-03-03,2023-03-18,40,2637.96,4,3+ Extensions
91127,70002778,4,2023-03-15,15,0.0025,879.32,Processor,129,Appraisal Delay,2023-03-18,2023-04-02,40,2637.96,4,3+ Extensions
91128,70002781,1,2023-04-22,15,0.0025,1031.31,Processor,133,Title Issues,2023-04-25,2023-05-10,20,1546.9699999999998,2,1–2 Extensions
91129,70002781,2,2023-05-08,5,0.00125,515.66,Processor,136,Borrower Delay,2023-05-10,2023-05-15,20,1546.9699999999998,2,1–2 Extensions
91130,70002785,1,2023-03-16,5,0.00125,635.78,Broker,137,Title Issues,2023-03-21,2023-03-26,25,2543.12,3,3+ Extensions
91131,70002785,2,2023-03-25,5,0.00125,635.78,Processor,137,Underwriting Conditions,2023-03-26,2023-03-31,25,2543.12,3,3+ Extensions
91132,70002785,3,2023-03-30,15,0.0025,1271.56,Processor,139,Underwriting Conditions,2023-03-31,2023-04-15,25,2543.12,3,3+ Extensions
91133,70002788,1,2023-04-06,5,0.00125,632.3,Processor,136,Underwriting Conditions,2023-04-09,2023-04-14,5,632.3,1,1–2 Extensions
91134,70002792,1,2023-04-19,15,0.0025,1143.84,Broker,131,Appraisal Delay,2023-04-24,2023-05-09,15,1143.84,1,1–2 Extensions
91135,70002794,1,2023-02-26,15,0.0025,1871.17,Broker,129,Appraisal Delay,2023-02-27,2023-03-14,15,1871.17,1,1–2 Extensions
91136,70002799,1,2023-05-15,5,0.00125,431.27,Processor,126,Borrower Delay,2023-05-18,2023-05-23,5,431.27,1,1–2 Extensions
91137,70002802,1,2023-03-30,5,0.00125,406.66,Loan Officer,133,Underwriting Conditions,2023-04-01,2023-04-06,10,813.32,2,1–2 Extensions
91138,70002802,2,2023-04-03,5,0.00125,406.66,Loan Officer,136,Rate Shopping,2023-04-06,2023-04-11,10,813.32,2,1–2 Extensions
91139,70002804,1,2023-05-14,5,0.00125,478.83,Loan Officer,135,Borrower Delay,2023-05-17,2023-05-22,20,1436.48,2,1–2 Extensions
91140,70002804,2,2023-05-17,15,0.0025,957.65,Broker,129,Rate Shopping,2023-05-22,2023-06-06,20,1436.48,2,1–2 Extensions
91141,70002806,1,2023-04-01,15,0.0025,557.34,Processor,137,Appraisal Delay,2023-04-05,2023-04-20,15,557.34,1,1–2 Extensions
91142,70002807,1,2023-06-01,15,0.0025,1887.65,Broker,126,Appraisal Delay,2023-06-03,2023-06-18,15,1887.65,1,1–2 Extensions
91143,70002810,1,2023-03-17,5,0.00125,586.34,Loan Officer,137,Title Issues,2023-03-19,2023-03-24,5,586.34,1,1–2 Extensions
91144,70002812,1,2023-03-22,5,0.00125,1064.26,Loan Officer,134,Appraisal Delay,2023-03-24,2023-03-29,5,1064.26,1,1–2 Extensions
91145,70002815,1,2023-03-12,15,0.0025,1332.01,Broker,136,Borrower Delay,2023-03-16,2023-03-31,15,1332.01,1,1–2 Extensions
91146,70002822,1,2023-04-18,15,0.0025,1755.56,Loan Officer,128,Rate Shopping,2023-04-20,2023-05-05,15,1755.56,1,1–2 Extensions
91147,70002823,1,2023-04-07,15,0.0025,602.59,Processor,127,Appraisal Delay,2023-04-08,2023-04-23,30,1205.18,2,1–2 Extensions
91148,70002823,2,2023-04-22,15,0.0025,602.59,Broker,128,Rate Shopping,2023-04-23,2023-05-08,30,1205.18,2,1–2 Extensions
91149,70002824,1,2023-04-01,5,0.00125,357.47,Loan Officer,132,Appraisal Delay,2023-04-05,2023-04-10,20,1072.41,2,1–2 Extensions
91150,70002824,2,2023-04-07,15,0.0025,714.94,Broker,126,Appraisal Delay,2023-04-10,2023-04-25,20,1072.41,2,1–2 Extensions
91151,70002826,1,2023-03-13,5,0.00125,292.5,Processor,125,Rate Shopping,2023-03-15,2023-03-20,20,877.5,2,1–2 Extensions
91152,70002826,2,2023-03-15,15,0.0025,585.0,Loan Officer,131,Appraisal Delay,2023-03-20,2023-04-04,20,877.5,2,1–2 Extensions
91153,70002829,1,2023-03-16,15,0.0025,755.15,Processor,135,Rate Shopping,2023-03-18,2023-04-02,15,755.15,1,1–2 Extensions
91154,70002831,1,2023-04-07,15,0.0025,1165.96,Loan Officer,131,Borrower Delay,2023-04-10,2023-04-25,15,1165.96,1,1–2 Extensions
91155,70002833,1,2023-02-11,15,0.0025,771.82,Loan Officer,139,Underwriting Conditions,2023-02-12,2023-02-27,15,771.82,1,1–2 Extensions
91156,70002835,1,2023-04-18,5,0.00125,607.27,Broker,127,Appraisal Delay,2023-04-19,2023-04-24,5,607.27,1,1–2 Extensions
91157,70002840,1,2023-02-16,5,0.00125,479.62,Loan Officer,127,Rate Shopping,2023-02-18,2023-02-23,5,479.62,1,1–2 Extensions
91158,70002850,1,2023-04-09,15,0.0025,1362.47,Loan Officer,129,Rate Shopping,2023-04-13,2023-04-28,20,2043.71,2,1–2 Extensions
91159,70002850,2,2023-04-23,5,0.00125,681.24,Loan Officer,139,Underwriting Conditions,2023-04-28,2023-05-03,20,2043.71,2,1–2 Extensions
91160,70002852,1,2023-03-02,5,0.00125,509.31,Processor,130,Borrower Delay,2023-03-05,2023-03-10,5,509.31,1,1–2 Extensions
91161,70002853,1,2023-02-10,5,0.00125,565.12,Broker,130,Borrower Delay,2023-02-14,2023-02-19,20,1695.3600000000001,2,1–2 Extensions
91162,70002853,2,2023-02-15,15,0.0025,1130.24,Loan Officer,135,Underwriting Conditions,2023-02-19,2023-03-06,20,1695.3600000000001,2,1–2 Extensions
91163,70002857,1,2023-03-04,5,0.00125,252.81,Loan Officer,126,Title Issues,2023-03-07,2023-03-12,5,252.81,1,1–2 Extensions
91164,70002859,1,2023-04-19,5,0.00125,819.2,Broker,139,Title Issues,2023-04-21,2023-04-26,20,2457.6000000000004,2,1–2 Extensions
91165,70002859,2,2023-04-25,15,0.0025,1638.4,Loan Officer,139,Borrower Delay,2023-04-26,2023-05-11,20,2457.6000000000004,2,1–2 Extensions
91166,70002865,1,2023-04-08,5,0.00125,661.49,Loan Officer,130,Underwriting Conditions,2023-04-13,2023-04-18,5,661.49,1,1–2 Extensions
91167,70002874,1,2023-02-25,15,0.0025,1144.96,Broker,127,Borrower Delay,2023-02-26,2023-03-13,35,2862.4,3,3+ Extensions
91168,70002874,2,2023-03-12,5,0.00125,572.48,Broker,137,Appraisal Delay,2023-03-13,2023-03-18,35,2862.4,3,3+ Extensions
91169,70002874,3,2023-03-14,15,0.0025,1144.96,Broker,127,Borrower Delay,2023-03-18,2023-04-02,35,2862.4,3,3+ Extensions
91170,70002876,1,2023-02-07,15,0.0025,624.98,Loan Officer,135,Title Issues,2023-02-08,2023-02-23,30,1249.96,2,1–2 Extensions
91171,70002876,2,2023-02-18,15,0.0025,624.98,Broker,139,Underwriting Conditions,2023-02-23,2023-03-10,30,1249.96,2,1–2 Extensions
91172,70002877,1,2023-02-18,15,0.0025,811.83,Broker,132,Borrower Delay,2023-02-19,2023-03-06,15,811.83,1,1–2 Extensions
91173,70002878,1,2023-04-22,15,0.0025,1847.94,Broker,134,Appraisal Delay,2023-04-27,2023-05-12,15,1847.94,1,1–2 Extensions
91174,70002879,1,2023-02-25,5,0.00125,433.03,Processor,131,Rate Shopping,2023-02-27,2023-03-04,5,433.03,1,1–2 Extensions
91175,70002880,1,2023-04-04,15,0.0025,1007.86,Loan Officer,129,Title Issues,2023-04-05,2023-04-20,15,1007.86,1,1–2 Extensions
91176,70002886,1,2023-02-23,15,0.0025,907.45,Loan Officer,135,Appraisal Delay,2023-02-25,2023-03-12,15,907.45,1,1–2 Extensions
91177,70002888,1,2023-02-19,15,0.0025,864.02,Broker,137,Title Issues,2023-02-23,2023-03-10,20,1296.03,2,1–2 Extensions
91178,70002888,2,2023-03-08,5,0.00125,432.01,Processor,126,Borrower Delay,2023-03-10,2023-03-15,20,1296.03,2,1–2 Extensions
91179,70002895,1,2023-02-10,15,0.0025,1767.97,Broker,138,Underwriting Conditions,2023-02-14,2023-03-01,20,2651.96,2,1–2 Extensions
91180,70002895,2,2023-02-24,5,0.00125,883.99,Processor,138,Underwriting Conditions,2023-03-01,2023-03-06,20,2651.96,2,1–2 Extensions
91181,70002901,1,2023-02-28,5,0.00125,511.31,Processor,127,Rate Shopping,2023-03-04,2023-03-09,5,511.31,1,1–2 Extensions
91182,70002908,1,2023-03-15,5,0.00125,590.81,Broker,133,Title Issues,2023-03-19,2023-03-24,5,590.81,1,1–2 Extensions
91183,70002910,1,2023-03-22,5,0.00125,394.94,Processor,135,Underwriting Conditions,2023-03-23,2023-03-28,10,789.88,2,1–2 Extensions
91184,70002910,2,2023-03-25,5,0.00125,394.94,Processor,131,Rate Shopping,2023-03-28,2023-04-02,10,789.88,2,1–2 Extensions
91185,70002913,1,2023-03-23,15,0.0025,1001.89,Processor,126,Underwriting Conditions,2023-03-27,2023-04-11,15,1001.89,1,1–2 Extensions
91186,70002921,1,2023-03-16,5,0.00125,566.82,Loan Officer,131,Borrower Delay,2023-03-19,2023-03-24,5,566.82,1,1–2 Extensions
91187,70002931,1,2023-03-11,5,0.00125,781.52,Broker,137,Appraisal Delay,2023-03-15,2023-03-20,25,3126.08,3,3+ Extensions
91188,70002931,2,2023-03-15,5,0.00125,781.52,Broker,133,Borrower Delay,2023-03-20,2023-03-25,25,3126.08,3,3+ Extensions
91189,70002931,3,2023-03-21,15,0.0025,1563.04,Processor,131,Rate Shopping,2023-03-25,2023-04-09,25,3126.08,3,3+ Extensions
91190,70002932,1,2023-05-03,15,0.0025,1220.9,Broker,138,Underwriting Conditions,2023-05-07,2023-05-22,15,1220.9,1,1–2 Extensions
91191,70002936,1,2023-01-31,5,0.00125,351.09,Broker,139,Borrower Delay,2023-02-03,2023-02-08,20,1053.26,2,1–2 Extensions
91192,70002936,2,2023-02-05,15,0.0025,702.17,Loan Officer,130,Title Issues,2023-02-08,2023-02-23,20,1053.26,2,1–2 Extensions
91193,70002938,1,2023-03-31,15,0.0025,1113.08,Processor,136,Underwriting Conditions,2023-04-03,2023-04-18,30,2226.16,2,1–2 Extensions
91194,70002938,2,2023-04-17,15,0.0025,1113.08,Broker,127,Rate Shopping,2023-04-18,2023-05-03,30,2226.16,2,1–2 Extensions
91195,70002940,1,2023-02-28,15,0.0025,818.52,Processor,132,Appraisal Delay,2023-03-03,2023-03-18,15,818.52,1,1–2 Extensions
91196,70002941,1,2023-03-11,15,0.0025,903.64,Broker,135,Underwriting Conditions,2023-03-14,2023-03-29,15,903.64,1,1–2 Extensions
91197,70002948,1,2023-03-10,5,0.00125,318.09,Loan Officer,136,Title Issues,2023-03-14,2023-03-19,20,954.26,2,1–2 Extensions
91198,70002948,2,2023-03-14,15,0.0025,636.17,Broker,128,Appraisal Delay,2023-03-19,2023-04-03,20,954.26,2,1–2 Extensions
91199,70002951,1,2023-04-04,5,0.00125,983.39,Loan Officer,126,Title Issues,2023-04-08,2023-04-13,5,983.39,1,1–2 Extensions
91200,70002956,1,2023-05-31,15,0.0025,986.18,Processor,131,Title Issues,2023-06-05,2023-06-20,15,986.18,1,1–2 Extensions
91201,70002957,1,2023-02-14,5,0.00125,995.39,Broker,129,Underwriting Conditions,2023-02-18,2023-02-23,50,6967.73,4,3+ Extensions
91202,70002957,2,2023-02-20,15,0.0025,1990.78,Broker,129,Borrower Delay,2023-02-23,2023-03-10,50,6967.73,4,3+ Extensions
91203,70002957,3,2023-03-05,15,0.0025,1990.78,Processor,136,Borrower Delay,2023-03-10,2023-03-25,50,6967.73,4,3+ Extensions
