Loan Number,Application Date,Lock Date,Funding Date,Loan Amount,Property State,Property Type,Occupancy Type,Loan Purpose,Channel,Product Type,Interest Rate,FICO,CLTV,DTI,Lock Term (days),Loan Status,loan_officer_id,Account Executive ID,Underwriter ID,Processor ID,Compensation (BPS),Compensation ($),Branch ID,Pull Through Flag,Extension Count,Is Funded,Loan Age (Days),Days To Fund,App To Lock Days,Lock To Fund Days,FICO Bucket,CLTV Bucket,High DTI Flag,Total Time In Process,Loan Status Simplified,Loan Purpose Simplified
70001142,2023-03-05,2023-03-08,2023-04-20,920991,Ca,Sfr,Primary,Refi Rt,Retail,Jumbo,7.294,706,81,25,30,Funded,121,,127,149,125,11512.39,18,1,0,1,1138,46.0,3,43.0,Prime+ (700-739),81-90%,0,46.0,Funded,Refinance
70001143,2023-01-03,2023-01-07,2023-03-02,412098,Tx,Condo,Primary,Refi Rt,Retail,Conventional,6.07,769,75,30,15,Funded,102,,137,152,115,4739.13,18,1,0,1,1199,58.0,4,54.0,Excellent (740-799),71-80%,0,58.0,Funded,Refinance
70001144,2023-02-20,2023-02-24,,470216,Il,Sfr,Investment,Purchase,Retail,Conventional,6.292,718,72,35,30,Suspended,111,,136,154,94,4420.03,18,0,0,0,1151,,4,,Prime+ (700-739),71-80%,0,4.0,Suspended,Purchase
70001145,2023-02-14,2023-02-17,2023-04-13,261981,Nc,Sfr,Primary,Purchase,Wholesale,Va,5.438,699,93,38,30,Funded,105,156.0,125,146,101,2646.01,12,1,0,1,1157,58.0,3,55.0,Prime (660-699),91-100%,0,58.0,Funded,Purchase
70001146,2023-02-24,2023-02-25,2023-04-13,348835,Tx,2-4 Unit,Primary,Purchase,Retail,Jumbo,7.293,746,71,32,30,Funded,102,,139,150,114,3976.72,18,1,0,1,1147,48.0,1,47.0,Excellent (740-799),71-80%,0,48.0,Funded,Purchase
70001147,2023-02-09,2023-02-11,2023-03-03,983595,Ny,Condo,Primary,Refi Rt,Retail,Jumbo,6.512,665,85,21,60,Funded,103,,131,144,106,10426.11,30,1,0,1,1162,22.0,2,20.0,Prime (660-699),81-90%,0,22.0,Funded,Refinance
70001148,2023-01-07,2023-01-08,,621767,Ca,Sfr,Second Home,Purchase,Retail,Jumbo,6.642,690,83,31,60,Withdrawn,115,,135,148,121,7523.38,18,0,0,0,1195,,1,,Prime (660-699),81-90%,0,1.0,Withdrawn,Purchase
70001149,2023-01-24,2023-01-24,2023-03-01,329479,Nc,Sfr,Primary,Purchase,Wholesale,Conventional,6.402,744,68,23,30,Funded,116,157.0,139,146,116,3821.96,22,1,1,1,1178,36.0,0,36.0,Excellent (740-799),61-70%,0,36.0,Funded,Purchase
70001150,2023-02-13,2023-02-18,,494607,Tx,Condo,Primary,Purchase,Wholesale,Va,6.057,753,78,42,30,Denied,107,163.0,139,141,108,5341.76,22,0,0,0,1158,,5,,Excellent (740-799),71-80%,0,5.0,Withdrawn,Purchase
70001151,2023-03-29,2023-03-31,2023-05-28,629399,Ca,Sfr,Primary,Purchase,Wholesale,Conventional,6.58,734,80,42,45,Funded,113,156.0,131,150,109,6860.45,18,1,0,1,1114,60.0,2,58.0,Prime+ (700-739),71-80%,0,60.0,Funded,Purchase
70001152,2023-03-31,2023-03-31,2023-04-20,658670,Ca,2-4 Unit,Primary,Purchase,Wholesale,Conventional,6.7,698,77,32,45,Funded,112,156.0,133,142,91,5993.9,22,1,1,1,1112,20.0,0,20.0,Prime (660-699),71-80%,0,20.0,Funded,Purchase
70001153,2023-01-22,2023-01-23,,244089,Ga,Sfr,Primary,Purchase,Retail,Va,5.843,737,90,35,30,Withdrawn,117,,132,154,71,1733.03,18,0,0,0,1180,,1,,Prime+ (700-739),81-90%,0,1.0,Withdrawn,Purchase
70001154,2023-02-03,2023-02-06,2023-03-24,479332,Ny,Condo,Primary,Refi Rt,Retail,Jumbo,7.392,760,82,33,30,Funded,124,,134,140,79,3786.72,12,1,1,1,1168,49.0,3,46.0,Excellent (740-799),81-90%,0,49.0,Funded,Refinance
70001155,2023-03-10,2023-03-15,,216776,Ga,Sfr,Primary,Purchase,Retail,Conventional,6.768,758,72,31,30,Suspended,101,,138,145,85,1842.6,12,0,0,0,1133,,5,,Excellent (740-799),71-80%,0,5.0,Suspended,Purchase
70001156,2023-03-19,2023-03-24,2023-04-16,358014,Il,Sfr,Primary,Refi Co,Retail,Fha,5.97,662,82,30,30,Funded,109,,139,149,132,4725.78,12,1,0,1,1124,28.0,5,23.0,Prime (660-699),81-90%,0,28.0,Funded,Refinance
70001157,2023-03-20,2023-03-24,,735396,Ny,Sfr,Primary,Purchase,Wholesale,Jumbo,6.7,720,75,48,30,Canceled,124,162.0,139,140,74,5441.93,12,0,0,0,1123,,4,,Prime+ (700-739),71-80%,1,4.0,Withdrawn,Purchase
70001158,2023-01-23,2023-01-24,2023-03-01,554485,Va,Sfr,Primary,Purchase,Wholesale,Fha,5.649,732,87,25,15,Funded,112,164.0,137,141,89,4934.92,22,1,0,1,1179,37.0,1,36.0,Prime+ (700-739),81-90%,0,37.0,Funded,Purchase
70001159,2023-03-22,2023-03-27,2023-04-20,261510,Tn,Sfr,Primary,Purchase,Retail,Fha,6.0,701,79,48,60,Funded,104,,130,148,85,2222.84,30,1,1,1,1121,29.0,5,24.0,Prime+ (700-739),71-80%,1,29.0,Funded,Purchase
70001160,2023-03-05,2023-03-10,2023-03-28,301250,Nc,Sfr,Primary,Purchase,Retail,Conventional,6.397,710,70,30,45,Funded,122,,129,154,138,4157.25,18,1,0,1,1138,23.0,5,18.0,Prime+ (700-739),61-70%,0,23.0,Funded,Purchase
70001161,2023-02-16,2023-02-19,2023-03-29,524724,Ca,Sfr,Primary,Refi Rt,Retail,Conventional,6.428,719,95,41,30,Funded,111,,129,144,98,5142.3,18,1,0,1,1155,41.0,3,38.0,Prime+ (700-739),91-100%,0,41.0,Funded,Refinance
70001162,2023-03-09,2023-03-12,2023-04-06,867662,Ca,Sfr,Primary,Refi Rt,Wholesale,Jumbo,6.799,679,61,33,30,Funded,121,164.0,133,151,126,10932.54,18,1,2,1,1134,28.0,3,25.0,Prime (660-699),61-70%,0,28.0,Funded,Refinance
70001163,2023-02-20,2023-02-21,2023-04-01,522640,Tx,Sfr,Investment,Refi Co,Wholesale,Conventional,6.614,694,74,40,30,Funded,105,160.0,133,152,90,4703.76,12,1,0,1,1151,40.0,1,39.0,Prime (660-699),71-80%,0,40.0,Funded,Refinance
70001164,2023-03-03,2023-03-04,2023-04-25,420804,Va,Sfr,Primary,Refi Rt,Retail,Conventional,6.485,684,73,32,60,Funded,119,,137,150,116,4881.33,35,1,0,1,1140,53.0,1,52.0,Prime (660-699),71-80%,0,53.0,Funded,Refinance
70001165,2023-01-29,2023-02-02,,238389,Nc,Condo,Primary,Purchase,Wholesale,Conventional,5.923,736,73,33,60,Suspended,117,164.0,130,140,85,2026.31,18,0,0,0,1173,,4,,Prime+ (700-739),71-80%,0,4.0,Suspended,Purchase
70001166,2023-03-04,2023-03-09,,365113,Fl,Sfr,Primary,Purchase,Wholesale,Va,5.994,779,85,48,60,Denied,102,156.0,139,153,115,4198.8,18,0,0,0,1139,,5,,Excellent (740-799),81-90%,1,5.0,Withdrawn,Purchase
70001167,2023-03-18,2023-03-21,2023-05-02,261737,Sc,Sfr,Second Home,Purchase,Retail,Fha,5.521,705,91,35,15,Funded,109,,126,145,126,3297.89,12,1,0,1,1125,45.0,3,42.0,Prime+ (700-739),91-100%,0,45.0,Funded,Purchase
70001168,2023-01-14,2023-01-16,,452873,Tx,Sfr,Primary,Purchase,Wholesale,Conventional,6.152,706,63,42,30,Withdrawn,116,161.0,126,143,119,5389.19,22,0,0,0,1188,,2,,Prime+ (700-739),61-70%,0,2.0,Withdrawn,Purchase
70001169,2023-02-10,2023-02-10,,294067,Nc,Sfr,Investment,Purchase,Wholesale,Va,5.709,700,74,28,30,Withdrawn,102,160.0,125,152,119,3499.4,18,0,0,0,1161,,0,,Prime+ (700-739),71-80%,0,0.0,Withdrawn,Purchase
70001170,2023-02-19,2023-02-23,,592698,Ny,2-4 Unit,Primary,Purchase,Retail,Fha,5.82,641,74,33,45,Withdrawn,100,,129,145,140,8297.77,22,0,0,0,1152,,4,,Near Prime (620-659),71-80%,0,4.0,Withdrawn,Purchase
70001171,2023-03-07,2023-03-11,,764959,Ny,Condo,Primary,Refi Co,Wholesale,Jumbo,7.107,678,83,42,45,Suspended,124,155.0,131,146,71,5431.21,12,0,0,0,1136,,4,,Prime (660-699),81-90%,0,4.0,Suspended,Refinance
70001172,2023-03-16,2023-03-20,,791826,Ca,Condo,Primary,Purchase,Wholesale,Jumbo,6.264,683,71,40,30,Withdrawn,116,159.0,130,151,104,8234.99,22,0,0,0,1127,,4,,Prime (660-699),71-80%,0,4.0,Withdrawn,Purchase
70001173,2023-02-13,2023-02-18,2023-04-13,636723,Ny,2-4 Unit,Second Home,Purchase,Wholesale,Fha,5.634,744,84,29,30,Funded,103,161.0,126,152,93,5921.52,30,1,3,1,1158,59.0,5,54.0,Excellent (740-799),81-90%,0,59.0,Funded,Purchase
70001174,2023-01-18,2023-01-18,,452655,Va,Sfr,Second Home,Purchase,Retail,Fha,6.016,709,90,39,30,Canceled,104,,135,154,91,4119.16,30,0,0,0,1184,,0,,Prime+ (700-739),81-90%,0,0.0,Withdrawn,Purchase
70001175,2023-01-15,2023-01-17,2023-02-15,504432,Tx,Sfr,Primary,Purchase,Retail,Conventional,5.776,678,90,40,45,Funded,121,,126,144,135,6809.83,18,1,0,1,1187,31.0,2,29.0,Prime (660-699),81-90%,0,31.0,Funded,Purchase
70001176,2023-03-08,2023-03-12,2023-04-11,954846,Ny,Sfr,Primary,Refi Rt,Retail,Jumbo,6.984,678,75,31,60,Funded,113,,132,154,96,9166.52,18,1,1,1,1135,34.0,4,30.0,Prime (660-699),71-80%,0,34.0,Funded,Refinance
70001177,2023-02-26,2023-03-03,2023-04-10,252882,Tn,Sfr,Primary,Purchase,Retail,Conventional,6.492,764,82,33,45,Funded,109,,128,141,132,3338.04,12,1,0,1,1145,43.0,5,38.0,Excellent (740-799),81-90%,0,43.0,Funded,Purchase
70001178,2023-01-23,2023-01-28,,645039,Ny,Condo,Primary,Purchase,Retail,Conventional,6.213,757,91,33,30,Denied,100,,135,144,124,7998.48,22,0,0,0,1179,,5,,Excellent (740-799),91-100%,0,5.0,Withdrawn,Purchase
70001179,2023-01-08,2023-01-11,2023-03-03,500293,Il,Condo,Primary,Purchase,Retail,Conventional,6.273,680,85,35,45,Funded,105,,137,147,104,5203.05,12,1,0,1,1194,54.0,3,51.0,Prime (660-699),81-90%,0,54.0,Funded,Purchase
70001180,2023-04-01,2023-04-01,2023-05-08,367835,Il,Sfr,Primary,Purchase,Retail,Conventional,6.319,680,85,40,60,Funded,115,,127,146,129,4745.07,18,1,0,1,1111,37.0,0,37.0,Prime (660-699),81-90%,0,37.0,Funded,Purchase
70001181,2023-03-15,2023-03-15,2023-04-10,385603,Fl,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.446,698,71,48,60,Funded,112,157.0,125,148,100,3856.03,22,1,0,1,1128,26.0,0,26.0,Prime (660-699),71-80%,1,26.0,Funded,Refinance
70001182,2023-01-16,2023-01-21,2023-02-16,694283,Ca,Sfr,Primary,Purchase,Wholesale,Fha,5.715,724,93,34,60,Funded,100,157.0,130,142,125,8678.54,22,1,0,1,1186,31.0,5,26.0,Prime+ (700-739),91-100%,0,31.0,Funded,Purchase
70001183,2023-03-14,2023-03-18,2023-04-22,213265,Ga,Sfr,Primary,Purchase,Retail,Conventional,6.191,640,90,30,60,Funded,107,,133,148,106,2260.61,22,1,0,1,1129,39.0,4,35.0,Near Prime (620-659),81-90%,0,39.0,Funded,Purchase
70001184,2023-01-22,2023-01-24,2023-03-09,357332,Il,Condo,Primary,Refi Rt,Wholesale,Conventional,6.693,712,81,45,45,Funded,103,162.0,132,151,105,3751.99,30,1,0,1,1180,46.0,2,44.0,Prime+ (700-739),81-90%,0,46.0,Funded,Refinance
70001185,2023-03-05,2023-03-06,,305195,Sc,Sfr,Primary,Purchase,Retail,Va,5.866,749,84,35,45,Canceled,115,,134,151,131,3998.05,18,0,0,0,1138,,1,,Excellent (740-799),81-90%,0,1.0,Withdrawn,Purchase
70001186,2023-01-24,2023-01-27,2023-03-23,588701,Ny,Condo,Primary,Purchase,Retail,Conventional,6.406,717,79,44,30,Funded,114,,137,148,116,6828.93,35,1,2,1,1178,58.0,3,55.0,Prime+ (700-739),71-80%,0,58.0,Funded,Purchase
70001187,2023-01-15,2023-01-16,2023-02-10,576980,Ca,Condo,Primary,Refi Rt,Retail,Jumbo,6.522,730,65,33,30,Funded,104,,137,145,99,5712.1,30,1,0,1,1187,26.0,1,25.0,Prime+ (700-739),61-70%,0,26.0,Funded,Refinance
70001188,2023-01-07,2023-01-11,2023-02-28,289702,Ga,Sfr,Primary,Refi Rt,Retail,Va,6.12,772,74,35,45,Funded,116,,138,149,119,3447.45,22,1,0,1,1195,52.0,4,48.0,Excellent (740-799),71-80%,0,52.0,Funded,Refinance
70001189,2023-03-29,2023-03-30,,472158,Il,Condo,Investment,Refi Rt,Retail,Conventional,6.725,642,98,28,30,Suspended,124,,137,153,72,3399.54,12,0,0,0,1114,,1,,Near Prime (620-659),91-100%,0,1.0,Suspended,Refinance
70001190,2023-01-26,2023-01-26,2023-02-19,323176,Fl,Sfr,Investment,Refi Rt,Wholesale,Va,5.761,681,86,23,45,Funded,111,157.0,138,153,91,2940.9,18,1,2,1,1176,24.0,0,24.0,Prime (660-699),81-90%,0,24.0,Funded,Refinance
70001191,2023-03-15,2023-03-15,2023-04-23,289091,Nc,Sfr,Primary,Refi Rt,Wholesale,Conventional,6.622,768,88,34,30,Funded,106,163.0,132,144,113,3266.73,12,1,0,1,1128,39.0,0,39.0,Excellent (740-799),81-90%,0,39.0,Funded,Refinance
70001192,2023-03-20,2023-03-21,2023-05-04,252705,Va,Sfr,Investment,Purchase,Wholesale,Conventional,6.014,728,85,42,45,Funded,101,157.0,135,142,75,1895.29,12,1,0,1,1123,45.0,1,44.0,Prime+ (700-739),81-90%,0,45.0,Funded,Purchase
70001193,2023-01-21,2023-01-21,,292539,Tx,2-4 Unit,Investment,Purchase,Wholesale,Conventional,5.995,699,89,42,30,Withdrawn,121,156.0,126,141,133,3890.77,18,0,0,0,1181,,0,,Prime (660-699),81-90%,0,0.0,Withdrawn,Purchase
70001194,2023-01-14,2023-01-15,2023-03-03,363994,Va,Sfr,Primary,Purchase,Retail,Conventional,5.818,710,60,37,45,Funded,107,,128,154,90,3275.95,22,1,1,1,1188,48.0,1,47.0,Prime+ (700-739),<=60%,0,48.0,Funded,Purchase
70001195,2023-01-28,2023-01-28,2023-03-08,458725,Fl,Sfr,Primary,Purchase,Retail,Conventional,6.48,683,75,31,45,Funded,124,,133,141,89,4082.65,12,1,0,1,1174,39.0,0,39.0,Prime (660-699),71-80%,0,39.0,Funded,Purchase
70001196,2023-02-06,2023-02-07,2023-03-18,358311,Nc,Sfr,Second Home,Refi Rt,Wholesale,Conventional,6.003,690,74,33,30,Funded,104,159.0,127,149,84,3009.81,30,1,0,1,1165,40.0,1,39.0,Prime (660-699),71-80%,0,40.0,Funded,Refinance
70001197,2023-01-03,2023-01-07,,112712,Ga,Condo,Investment,Purchase,Retail,Fha,5.726,697,71,42,45,Withdrawn,100,,137,154,134,1510.34,22,0,0,0,1199,,4,,Prime (660-699),71-80%,0,4.0,Withdrawn,Purchase
70001198,2023-03-27,2023-03-31,,794989,Ny,Sfr,Primary,Purchase,Retail,Jumbo,6.576,693,72,48,15,Canceled,103,,127,144,101,8029.39,30,0,0,0,1116,,4,,Prime (660-699),71-80%,1,4.0,Withdrawn,Purchase
70001199,2023-02-15,2023-02-19,,449834,Fl,Sfr,Primary,Refi Co,Retail,Conventional,6.793,746,88,38,60,Suspended,124,,127,140,82,3688.64,12,0,0,0,1156,,4,,Excellent (740-799),81-90%,0,4.0,Suspended,Refinance
70001200,2023-03-03,2023-03-03,2023-03-28,567786,Ca,Sfr,Primary,Purchase,Retail,Conventional,5.869,781,79,38,45,Funded,113,,131,153,102,5791.42,18,1,1,1,1140,25.0,0,25.0,Excellent (740-799),71-80%,0,25.0,Funded,Purchase
70001201,2023-02-22,2023-02-23,2023-04-23,258367,Sc,Condo,Primary,Refi Co,Retail,Conventional,6.395,703,67,22,60,Funded,120,,125,143,75,1937.75,35,1,0,1,1149,60.0,1,59.0,Prime+ (700-739),61-70%,0,60.0,Funded,Refinance
70001202,2023-02-06,2023-02-06,2023-03-21,286064,Ga,Sfr,Primary,Refi Co,Retail,Conventional,6.328,739,82,50,60,Funded,113,,139,152,110,3146.7,18,1,0,1,1165,43.0,0,43.0,Prime+ (700-739),81-90%,1,43.0,Funded,Refinance
70001203,2023-01-09,2023-01-11,2023-02-04,608972,Ca,Sfr,Investment,Purchase,Retail,Conventional,5.923,680,79,23,30,Funded,104,,138,152,91,5541.65,30,1,0,1,1193,26.0,2,24.0,Prime (660-699),71-80%,0,26.0,Funded,Purchase
70001204,2023-02-25,2023-02-25,,228906,Nc,Sfr,Second Home,Refi Rt,Retail,Conventional,6.366,698,76,40,15,Suspended,113,,133,143,91,2083.04,18,0,0,0,1146,,0,,Prime (660-699),71-80%,0,0.0,Suspended,Refinance
70001205,2023-02-21,2023-02-23,2023-04-10,401289,Tx,Sfr,Primary,Purchase,Retail,Conventional,6.293,699,72,23,45,Funded,103,,127,149,105,4213.53,30,1,0,1,1150,48.0,2,46.0,Prime (660-699),71-80%,0,48.0,Funded,Purchase
70001206,2023-01-14,2023-01-16,2023-02-08,344388,Il,Sfr,Primary,Purchase,Retail,Conventional,6.482,727,73,31,30,Funded,101,,138,153,87,2996.18,12,1,0,1,1188,25.0,2,23.0,Prime+ (700-739),71-80%,0,25.0,Funded,Purchase
70001207,2023-03-09,2023-03-11,2023-04-20,786109,Ca,Sfr,Primary,Purchase,Retail,Jumbo,6.822,699,59,30,15,Funded,117,,138,148,82,6446.09,18,1,1,1,1134,42.0,2,40.0,Prime (660-699),<=60%,0,42.0,Funded,Purchase
70001208,2023-02-27,2023-03-02,,294766,Il,Sfr,Primary,Purchase,Retail,Conventional,5.584,664,78,27,60,Denied,124,,128,149,79,2328.65,12,0,0,0,1144,,3,,Prime (660-699),71-80%,0,3.0,Withdrawn,Purchase
70001209,2023-02-26,2023-02-28,2023-04-17,396315,Tx,Condo,Primary,Purchase,Retail,Conventional,6.132,747,88,41,30,Funded,100,,125,140,140,5548.41,22,1,4,1,1145,50.0,2,48.0,Excellent (740-799),81-90%,0,50.0,Funded,Purchase
70001210,2023-02-23,2023-02-26,2023-04-13,289460,Nc,2-4 Unit,Primary,Purchase,Retail,Conventional,5.817,652,70,37,30,Funded,103,,139,144,103,2981.44,30,1,0,1,1148,49.0,3,46.0,Near Prime (620-659),61-70%,0,49.0,Funded,Purchase
70001211,2023-03-25,2023-03-27,2023-05-01,640938,Ny,Sfr,Investment,Purchase,Wholesale,Fha,6.0,728,87,43,60,Funded,118,158.0,125,145,80,5127.5,18,1,1,1,1118,37.0,2,35.0,Prime+ (700-739),81-90%,0,37.0,Funded,Purchase
70001212,2023-04-01,2023-04-01,2023-05-22,447362,Fl,Sfr,Primary,Refi Rt,Retail,Conventional,5.739,759,84,39,45,Funded,112,,137,149,91,4070.99,22,1,0,1,1111,51.0,0,51.0,Excellent (740-799),81-90%,0,51.0,Funded,Refinance
70001213,2023-03-05,2023-03-10,,268045,Ga,Sfr,Primary,Purchase,Retail,Conventional,6.362,720,81,26,45,Withdrawn,103,,131,154,98,2626.84,30,0,0,0,1138,,5,,Prime+ (700-739),81-90%,0,5.0,Withdrawn,Purchase
70001214,2023-01-13,2023-01-14,2023-02-13,219922,Ga,Sfr,Primary,Purchase,Retail,Conventional,6.494,733,100,28,30,Funded,106,,136,151,109,2397.15,12,1,4,1,1189,31.0,1,30.0,Prime+ (700-739),91-100%,0,31.0,Funded,Purchase
70001215,2023-03-16,2023-03-20,2023-04-13,241156,Va,2-4 Unit,Primary,Purchase,Wholesale,Jumbo,6.829,669,78,31,30,Funded,100,155.0,128,147,137,3303.84,22,1,0,1,1127,28.0,4,24.0,Prime (660-699),71-80%,0,28.0,Funded,Purchase
70001216,2023-03-11,2023-03-12,2023-05-04,222402,Nc,Sfr,Second Home,Refi Rt,Wholesale,Fha,5.801,700,76,28,45,Funded,102,164.0,128,145,129,2868.99,18,1,0,1,1132,54.0,1,53.0,Prime+ (700-739),71-80%,0,54.0,Funded,Refinance
70001217,2023-03-18,2023-03-22,,357692,Va,Condo,Primary,Purchase,Retail,Jumbo,6.721,693,77,38,60,Withdrawn,117,,133,150,78,2790.0,18,0,0,0,1125,,4,,Prime (660-699),71-80%,0,4.0,Withdrawn,Purchase
70001218,2023-02-07,2023-02-12,2023-03-06,591574,Ca,Condo,Investment,Refi Co,Wholesale,Va,6.391,726,86,34,30,Funded,114,160.0,139,154,112,6625.63,35,1,0,1,1164,27.0,5,22.0,Prime+ (700-739),81-90%,0,27.0,Funded,Refinance
70001219,2023-01-30,2023-02-03,2023-03-17,377684,Tn,2-4 Unit,Primary,Refi Co,Retail,Conventional,6.992,731,62,29,15,Funded,115,,130,147,129,4872.12,18,1,0,1,1172,46.0,4,42.0,Prime+ (700-739),61-70%,0,46.0,Funded,Refinance
70001220,2023-01-24,2023-01-25,2023-03-16,867379,Ca,Sfr,Primary,Purchase,Wholesale,Jumbo,6.863,761,74,37,15,Funded,121,159.0,138,149,129,11189.19,18,1,1,1,1178,51.0,1,50.0,Excellent (740-799),71-80%,0,51.0,Funded,Purchase
70001221,2023-03-18,2023-03-23,,624158,Ca,2-4 Unit,Primary,Refi Rt,Retail,Jumbo,7.223,710,77,36,45,Denied,121,,135,140,138,8613.38,18,0,0,0,1125,,5,,Prime+ (700-739),71-80%,0,5.0,Withdrawn,Refinance
70001222,2023-03-17,2023-03-19,2023-05-11,194839,Ga,Sfr,Investment,Purchase,Retail,Conventional,6.567,737,75,43,30,Funded,120,,128,142,76,1480.78,35,1,0,1,1126,55.0,2,53.0,Prime+ (700-739),71-80%,0,55.0,Funded,Purchase
70001223,2023-03-28,2023-04-02,,509973,Ny,Sfr,Primary,Purchase,Wholesale,Conventional,5.507,735,77,38,45,Denied,121,157.0,135,146,122,6221.67,18,0,0,0,1115,,5,,Prime+ (700-739),71-80%,0,5.0,Withdrawn,Purchase
70001224,2023-01-06,2023-01-10,2023-01-27,402839,Va,Condo,Primary,Refi Rt,Retail,Conventional,6.411,742,97,29,30,Funded,108,,132,148,104,4189.53,12,1,0,1,1196,21.0,4,17.0,Excellent (740-799),91-100%,0,21.0,Funded,Refinance
70001225,2023-01-09,2023-01-12,,197570,Nc,Sfr,Primary,Purchase,Wholesale,Conventional,5.797,771,62,34,45,Denied,113,163.0,129,148,94,1857.16,18,0,0,0,1193,,3,,Excellent (740-799),61-70%,0,3.0,Withdrawn,Purchase
70001226,2023-03-06,2023-03-10,2023-04-11,453907,Tn,Condo,Primary,Purchase,Wholesale,Conventional,6.295,748,93,28,15,Funded,112,163.0,132,142,91,4130.55,22,1,0,1,1137,36.0,4,32.0,Excellent (740-799),91-100%,0,36.0,Funded,Purchase
70001227,2023-03-15,2023-03-15,,479105,Ca,Sfr,Primary,Purchase,Retail,Va,5.761,647,89,47,45,Withdrawn,123,,128,145,95,4551.5,35,0,0,0,1128,,0,,Near Prime (620-659),81-90%,1,0.0,Withdrawn,Purchase
70001228,2023-03-18,2023-03-23,,213914,Tx,2-4 Unit,Investment,Refi Rt,Retail,Conventional,6.244,744,83,28,45,Suspended,110,,127,143,107,2288.88,22,0,0,0,1125,,5,,Excellent (740-799),81-90%,0,5.0,Suspended,Refinance
70001229,2023-02-02,2023-02-04,2023-03-13,649127,Ny,Sfr,Primary,Refi Rt,Retail,Conventional,5.912,685,76,38,60,Funded,115,,127,144,124,8049.17,18,1,0,1,1169,39.0,2,37.0,Prime (660-699),71-80%,0,39.0,Funded,Refinance
70001230,2023-01-13,2023-01-16,2023-03-04,546079,Fl,Sfr,Primary,Purchase,Retail,Conventional,6.731,683,94,28,30,Funded,123,,126,152,84,4587.06,35,1,0,1,1189,50.0,3,47.0,Prime (660-699),91-100%,0,50.0,Funded,Purchase
70001231,2023-03-31,2023-04-02,2023-05-25,714700,Ny,Sfr,Primary,Purchase,Retail,Jumbo,7.719,675,61,44,15,Funded,104,,126,144,85,6074.95,30,1,0,1,1112,55.0,2,53.0,Prime (660-699),61-70%,0,55.0,Funded,Purchase
70001232,2023-02-04,2023-02-07,,473439,Ca,2-4 Unit,Second Home,Refi Rt,Wholesale,Jumbo,6.599,685,93,36,45,Suspended,117,163.0,131,149,84,3976.89,18,0,0,0,1167,,3,,Prime (660-699),91-100%,0,3.0,Suspended,Refinance
70001233,2023-02-01,2023-02-06,,209989,Tn,Sfr,Primary,Purchase,Wholesale,Conventional,6.448,724,98,41,30,Suspended,102,164.0,130,145,112,2351.88,18,0,0,0,1170,,5,,Prime+ (700-739),91-100%,0,5.0,Suspended,Purchase
70001234,2023-02-10,2023-02-15,,306402,Nc,Sfr,Primary,Refi Rt,Retail,Va,6.358,730,79,43,45,Canceled,107,,136,154,106,3247.86,22,0,0,0,1161,,5,,Prime+ (700-739),71-80%,0,5.0,Withdrawn,Refinance
70001235,2023-03-30,2023-03-30,,492474,Fl,Sfr,Primary,Refi Rt,Retail,Va,6.138,725,80,38,30,Withdrawn,112,,128,146,96,4727.75,22,0,0,0,1113,,0,,Prime+ (700-739),71-80%,0,0.0,Withdrawn,Refinance
70001236,2023-02-22,2023-02-27,2023-03-15,782007,Ny,Sfr,Primary,Purchase,Retail,Jumbo,6.664,672,73,32,30,Funded,119,,135,150,117,9149.48,35,1,1,1,1149,21.0,5,16.0,Prime (660-699),71-80%,0,21.0,Funded,Purchase
70001237,2023-01-18,2023-01-20,,655610,Ny,Sfr,Primary,Purchase,Retail,Conventional,6.669,608,71,34,60,Withdrawn,123,,138,148,94,6162.73,35,0,0,0,1184,,2,,Fair (580-619),71-80%,0,2.0,Withdrawn,Purchase
70001238,2023-02-25,2023-02-28,,530377,Ca,Sfr,Primary,Purchase,Wholesale,Jumbo,6.358,792,74,35,30,Denied,115,160.0,137,147,138,7319.2,18,0,0,0,1146,,3,,Excellent (740-799),71-80%,0,3.0,Withdrawn,Purchase
70001239,2023-01-04,2023-01-08,2023-02-08,660609,Ca,2-4 Unit,Second Home,Refi Co,Retail,Conventional,6.144,715,92,37,45,Funded,111,,129,152,91,6011.54,18,1,0,1,1198,35.0,4,31.0,Prime+ (700-739),91-100%,0,35.0,Funded,Refinance
70001240,2023-02-18,2023-02-19,2023-03-24,429842,Tx,Sfr,Primary,Refi Rt,Retail,Conventional,6.063,689,76,39,30,Funded,101,,125,151,85,3653.66,12,1,2,1,1153,34.0,1,33.0,Prime (660-699),71-80%,0,34.0,Funded,Refinance
70001241,2023-02-24,2023-02-25,2023-04-15,357197,Tx,Sfr,Primary,Purchase,Wholesale,Conventional,6.348,695,86,39,60,Funded,109,160.0,131,142,140,5000.76,12,1,1,1,1147,50.0,1,49.0,Prime (660-699),81-90%,0,50.0,Funded,Purchase
70001242,2023-02-19,2023-02-19,,185528,Nc,Sfr,Primary,Purchase,Retail,Jumbo,6.746,731,70,33,30,Canceled,117,,137,148,90,1669.75,18,0,0,0,1152,,0,,Prime+ (700-739),61-70%,0,0.0,Withdrawn,Purchase
70001243,2023-01-08,2023-01-08,,397329,Tx,2-4 Unit,Primary,Purchase,Retail,Conventional,6.613,721,75,29,45,Canceled,104,,128,153,84,3337.56,30,0,0,0,1194,,0,,Prime+ (700-739),71-80%,0,0.0,Withdrawn,Purchase
